Part;Value;Device;Package
C1;100n;C-EUC0603;C0603
C2;100n;C-EUC0603;C0603
C3;100n;C-EUC0603;C0603
C4;100n;C-EUC0603;C0603
C5;100n;C-EUC0603;C0603
C6;100n;C-EUC0603;C0603
C7;100n;C-EUC0603;C0603
C8;100n;C-EUC0603;C0603
C9;100n;C-EUC0603;C0603
D1;1N4148;DIODE-MINIMELF;MINIMELF
LED1;WS2812B;WS2812B;WS2812B
LED2;WS2812B;WS2812B;WS2812B
LED3;WS2812B;WS2812B;WS2812B
LED4;WS2812B;WS2812B;WS2812B
LED5;WS2812B;WS2812B;WS2812B
LED6;WS2812B;WS2812B;WS2812B
LED7;WS2812B;WS2812B;WS2812B
LED8;WS2812B;WS2812B;WS2812B
MOD1;PMS7003;PMS7003;PMS7003
MOD2;NODEMCU;NODEMCUWITHOUT-HOLES;NODEMCU-WITHOUT-HOLES
MOD3;DHT22;DHT22-3PIN;DHT22_STRAIGHT-3PIN
MOD4;CCS811;CCS811_ANGLE;HDRRAR4W64P254_1X4_1016X736X254B
R1;4k7;R-EU_M0805;M0805
SPACER1;M3x10mm;;
SPACER2;M3x10mm;;
SPACER3;M3x10mm;;
SPACER4;M3x10mm;;
BOLT1;M3x10mm Cone;;
BOLT2;M3x10mm Cone;;
BOLT3;M3x10mm Cone;;
BOLT4;M3x10mm Cone;;
